order_id,order_date,customer_id,customer_segment,region,category,product,quantity,unit_price,discount,total_sales,cost,profit
ORD005706,2025-11-18,CUST00174,VIP,EAST,Sports & Outdoors,Yoga Mat,1,158.61,0.0,158.61,77.35,81.26
ORD000969,2024-02-04,CUST01406,Returning,south,Apparel,Winter Coat,2,192.98,0.0,385.96,227.49,158.47
ORD001670,2025-01-15,CUST00202,VIP,west,Home & Kitchen,Cookware Set,1,142.06,0.0,142.06,76.64,65.42
ORD003551,2024-10-17,CUST01725,Returning,Central,Home & Kitchen,Blender,1,207.77,0.0,207.77,129.83,77.94
ORD003796,2024-05-21,CUST00361,VIP,central,Home & Kitchen,Coffee Maker,1,21.79,0.0,21.79,14.02,7.77
ORD003187,2024-02-26,CUST00111,New,east,Beauty,Shampoo Set,1,103.9,0.05,98.7,63.44,35.26
ORD004505,2024-08-09,CUST01672,Returning,south,Electronics,Wireless Earbuds,2,104.65,0.0,209.3,123.86,85.44
ORD000138,2024-03-07,CUST01526,VIP,north,Beauty,Perfume,1,78.71,0.0,78.71,44.75,33.96
ORD004879,2024-11-10,CUST01336,New,EAST,Home & Kitchen,Vacuum Cleaner,2,193.94,0.0,387.88,213.34,174.54
ORD000927,2024-04-13,CUST01719,New,east,Beauty,Face Serum,1,53.61,0.0,53.61,26.25,27.36
ORD004008,2024-04-18,CUST00556,New,CENTRAL,Electronics,Wireless Earbuds,1,95.76,0.0,95.76,60.54,35.22
ORD002418,2024-01-18,CUST01275,Returning,west,Apparel,Winter Coat,1,217.25,0.0,217.25,134.08,83.17
ORD000501,2024-01-18,CUST00860,Returning,CENTRAL,Home & Kitchen,Coffee Maker,1,22.77,0.0,22.77,10.76,12.01
ORD004993,2024-06-03,CUST00795,New,NORTH,Beauty,Makeup Kit,1,124.5,0.0,124.5,56.35,68.15
ORD000536,2024-01-10,CUST01016,VIP,central,Beauty,Face Serum,1,52.75,0.0,52.75,27.84,24.91
ORD000039,2025-08-04,CUST01636,New,East,Home & Kitchen,Blender,2,199.82,0.0,399.64,255.77,143.87
ORD002161,2024-06-10,CUST01675,New,NORTH,Beauty,Perfume,2,85.9,0.0,171.8,94.44,77.36
ORD000842,2024-08-27,CUST00662,New,West,Electronics,Power Bank,1,45.01,0.0,45.01,24.55,20.46
ORD000943,2025-02-27,CUST00502,VIP,CENTRAL,Home & Kitchen,Air Fryer,2,48.51,0.15,82.47,45.57,36.9
ORD003787,2024-04-01,CUST00866,New,North ,Home & Kitchen,Air Fryer,1,41.6,0.0,41.6,22.11,19.49
ORD001878,2024-09-12,CUST00045,Returning,Central,Home & Kitchen,Coffee Maker,1,23.75,0.0,23.75,13.1,10.65
ORD004238,2025-12-01,CUST01687,New,North,Sports & Outdoors,Dumbbell Set,1,74.89,0.0,74.89,39.56,35.33
ORD005876,2024-04-02,CUST00294,New,central,Home & Kitchen,Air Fryer,1,48.32,0.0,48.32,25.3,23.02
ORD003268,2025-02-11,CUST01202,New,east,Beauty,Makeup Kit,1,133.01,0.0,133.01,69.46,63.55
ORD002998,2024-10-07,CUST00630,Returning,south,Apparel,Winter Coat,1,197.49,0.0,197.49,115.68,81.81
ORD001118,2025-10-15,CUST01583,VIP,South,Apparel,Yoga Pants,1,53.72,0.0,53.72,31.76,21.96
ORD000043,2025-10-21,CUST01156,Returning,North,Sports & Outdoors,Yoga Mat,2,155.5,0.0,311.0,183.81,127.19
ORD001474,2024-11-26,CUST01138,Returning,north,Sports & Outdoors,Dumbbell Set,2,74.31,0.0,148.62,93.92,54.7
ORD002429,2024-11-02,CUST00189,Returning,WEST,Home & Kitchen,Cookware Set,1,159.25,0.0,159.25,83.61,75.64
ORD000907,2024-01-31,CUST01252,Returning,SOUTH,Sports & Outdoors,Yoga Mat,2,169.47,0.0,338.94,211.09,127.85
ORD000345,2025-09-10,CUST00957,Returning,EAST,Electronics,Power Bank,2,49.04,0.2,78.46,48.87,29.59
ORD005720,2024-05-18,CUST00227,Returning,North ,Electronics,Laptop Stand,3,147.05,0.1,397.04,206.72,190.32
ORD004939,2025-07-03,CUST00108,New,South,Home & Kitchen,Coffee Maker,1,23.22,0.2,18.58,12.84,5.74
ORD004301,2024-10-03,CUST00134,Returning,EAST,Home & Kitchen,Cookware Set,1,156.82,0.0,156.82,84.13,72.69
ORD001003,2024-07-01,CUST00884,New,SOUTH,Electronics,Power Bank,1,43.16,0.0,43.16,27.97,15.19
ORD005713,2024-01-23,CUST01522,New,Central,Beauty,Perfume,1,71.51,0.0,71.51,43.07,28.44
ORD004338,2024-06-30,CUST01452,New,north,Home & Kitchen,Air Fryer,1,45.07,0.0,45.07,24.94,20.13
ORD004463,2024-01-01,CUST01354,New,East,Apparel,Denim Jacket,1,261.32,0.0,261.32,132.64,128.68
ORD000559,2024-04-06,CUST01779,New,central,Beauty,Perfume,1,72.73,0.0,72.73,44.29,28.44
ORD002611,2024-02-06,CUST01110,,central,Beauty,Hair Dryer,1,81.09,0.0,81.09,45.18,35.91
ORD003338,2024-07-13,CUST00331,New,CENTRAL,Electronics,Bluetooth Speaker,3,223.17,0.0,669.51,415.05,254.46
ORD004057,2024-01-25,CUST00832,Returning,WEST,Electronics,Power Bank,1,45.74,0.05,43.45,25.74,17.71
ORD003185,2024-06-24,CUST01453,Returning,south,Home & Kitchen,Air Fryer,2,49.41,0.0,98.82,49.21,49.61
ORD003164,2024-02-19,CUST00246,Returning,north,Apparel,Denim Jacket,1,258.98,0.0,258.98,161.17,97.81
ORD000578,2024-12-20,CUST01653,VIP,west,Sports & Outdoors,Bike Helmet,1,92.82,0.0,92.82,47.41,45.41
ORD001785,2024-01-10,CUST00912,Returning,SOUTH,Electronics,Wireless Earbuds,1,94.01,0.0,94.01,52.82,41.19
ORD003266,2024-10-24,CUST00948,New,NORTH,Home & Kitchen,Blender,1,223.5,0.0,223.5,108.42,115.08
ORD004137,2025-03-08,CUST00218,New,north,Electronics,Laptop Stand,1,158.26,0.0,158.26,82.62,75.64
ORD001221,2024-03-17,CUST00206,Returning,EAST,Apparel,Yoga Pants,1,50.92,0.2,40.74,31.15,9.59
ORD001031,2024-03-27,CUST01635,Returning,North,Electronics,Wireless Earbuds,1,98.13,0.0,98.13,62.13,36.0
ORD005728,2024-10-18,CUST01438,VIP,west,Beauty,Makeup Kit,3,135.38,0.0,406.14,223.89,182.25
ORD003462,2024-02-15,CUST01787,Returning,WEST,Home & Kitchen,Coffee Maker,1,21.69,0.05,20.61,10.94,9.67
ORD001465,2025-01-04,CUST00819,Returning,Central,Electronics,Power Bank,1,45.69,0.0,45.69,24.72,20.97
ORD000445,2024-07-18,CUST01690,Returning,North ,Sports & Outdoors,Yoga Mat,1,145.65,0.0,145.65,85.66,59.99
ORD002625,2025-02-10,CUST01004,New,South,Home & Kitchen,Vacuum Cleaner,1,189.32,,189.32,115.01,74.31
ORD004044,2024-09-19,CUST01662,New,Central,Home & Kitchen,Coffee Maker,2,21.9,0.05,41.61,23.93,17.68
ORD004312,2024-07-20,CUST01353,Returning,central,Apparel,Winter Coat,2,207.59,0.0,415.18,203.49,211.69
ORD002539,2025-02-28,CUST00491,Returning,NORTH,Electronics,Laptop Stand,2,152.71,0.0,305.42,146.92,158.5
ORD000780,2025-02-25,CUST01171,VIP,NORTH,Apparel,T-Shirt Pack,1,54.96,0.0,54.96,34.02,20.94
ORD003159,2024-04-07,CUST01020,VIP,West,Home & Kitchen,Blender,1,221.27,0.15,188.08,143.35,44.73
ORD003276,2025-08-12,CUST01124,VIP,CENTRAL,Electronics,Power Bank,4,45.39,0.1,163.4,86.14,77.26
ORD004551,2024-07-19,CUST00690,VIP,north,Beauty,Face Serum,4,55.56,0.0,222.24,126.07,96.17
ORD002358,2024-03-06,CUST00451,New,NORTH,Electronics,Wireless Earbuds,1,103.33,0.0,103.33,52.11,51.22
ORD003739,2025-01-27,CUST00861,New,West,Home & Kitchen,Cookware Set,1,157.1,0.05,149.24,96.16,53.08
ORD005948,2024-01-14,CUST01101,Returning,north,Apparel,Winter Coat,1,224.18,0.0,224.18,139.66,84.52
ORD003895,2024-05-16,CUST00428,VIP,west,Home & Kitchen,Blender,1,234.83,0.1,211.35,107.54,103.81
ORD004936,2024-03-23,CUST01517,VIP,CENTRAL,Electronics,Wireless Earbuds,1,89.86,0.0,89.86,48.11,41.75
ORD004612,2024-08-16,CUST00240,New,WEST,Sports & Outdoors,Bike Helmet,1,93.92,0.0,93.92,57.62,36.3
ORD001676,2024-08-13,CUST01710,New,West,Home & Kitchen,Blender,2,219.56,0.15,373.25,247.87,125.38
ORD002394,2025-01-20,CUST00816,Returning,NORTH,Electronics,Bluetooth Speaker,1,235.7,0.0,235.7,114.72,120.98
ORD002011,2024-11-28,CUST01051,New,EAST,Beauty,Perfume,1,71.69,0.05,68.11,39.53,28.58
ORD002850,2025-04-01,CUST00977,VIP,WEST,Sports & Outdoors,Bike Helmet,1,96.28,0.15,81.84,58.77,23.07
ORD005888,2024-04-28,CUST00536,Returning,central,Home & Kitchen,Coffee Maker,4,20.34,0.0,81.36,44.94,36.42
ORD005781,2024-04-14,CUST01782,New,CENTRAL,Electronics,Bluetooth Speaker,2,236.96,0.0,473.92,302.7,171.22
ORD000930,2024-05-14,CUST01489,Returning,central,Electronics,Smartwatch,1,171.52,0.0,171.52,92.22,79.3
ORD005645,2024-01-22,CUST00246,Returning,East,Apparel,Winter Coat,2,196.5,0.0,393.0,231.71,161.29
ORD005077,2024-03-12,CUST00523,New,WEST,Beauty,Makeup Kit,1,142.16,0.1,127.94,78.22,49.72
ORD001950,2024-02-19,CUST00111,Returning,WEST,Sports & Outdoors,Camping Tent,1,44.73,0.05,42.49,27.06,15.43
ORD004425,2024-10-28,CUST01405,VIP,NORTH,Apparel,Yoga Pants,1,50.49,0.0,50.49,30.04,20.45
ORD000950,2025-10-01,CUST00806,Returning,East,Apparel,Winter Coat,1,191.41,0.1,172.27,117.11,55.16
ORD005546,2024-09-23,CUST01117,New,North,Beauty,Hair Dryer,2,86.43,0.0,172.86,86.69,86.17
ORD005220,2025-12-03,CUST01507,VIP,CENTRAL,Electronics,Wireless Earbuds,2,92.91,0.0,185.82,93.26,92.56
ORD002136,2024-11-22,CUST00624,New,central,Apparel,Running Shoes,1,14.0,0.1,12.6,6.6,6.0
ORD002499,2024-06-22,CUST01651,New,CENTRAL,Home & Kitchen,Coffee Maker,1,23.35,0.0,23.35,14.22,9.13
ORD004841,2024-05-01,CUST01305,New,SOUTH,Home & Kitchen,Blender,2,210.18,0.2,336.29,193.05,143.24
ORD003750,2024-12-31,CUST01209,Returning,East,Electronics,Wireless Earbuds,3,100.71,0.15,256.81,177.68,79.13
ORD004756,2025-07-29,CUST00683,VIP,East,Apparel,Running Shoes,1,13.17,0.0,13.17,6.95,6.22
ORD004429,2024-12-20,CUST00548,New,North ,Electronics,Bluetooth Speaker,1,248.07,0.0,248.07,146.11,101.96
ORD005186,2024-06-25,CUST00608,Returning,EAST,Apparel,Running Shoes,4,14.17,0.05,53.85,27.34,26.51
ORD004742,2024-06-26,CUST00758,New,SOUTH,Sports & Outdoors,Yoga Mat,1,154.54,0.05,146.81,98.45,48.36
ORD000909,2024-01-09,CUST00502,New,SOUTH,Apparel,Denim Jacket,1,240.32,0.0,240.32,134.91,105.41
ORD005016,2024-04-26,CUST01274,Returning,North ,Beauty,Perfume,1,78.35,0.0,78.35,49.51,28.84
ORD004649,2024-05-04,CUST01177,New,central,Apparel,T-Shirt Pack,4,60.39,0.0,241.56,151.03,90.53
ORD000363,2024-08-13,CUST00761,VIP,WEST,Home & Kitchen,Blender,1,210.13,0.0,210.13,126.6,83.53
ORD002540,2024-02-15,CUST00491,Returning,North ,Electronics,Power Bank,1,44.93,0.0,44.93,20.88,24.05
ORD000314,2025-03-26,CUST01151,VIP,East,Home & Kitchen,Cookware Set,2,163.21,0.0,326.42,175.51,150.91
ORD003986,2024-11-14,CUST00641,Returning,West,Electronics,Bluetooth Speaker,1,231.41,0.05,219.84,105.08,114.76
ORD004390,2025-11-27,CUST00069,Returning,East,Apparel,Yoga Pants,1,53.9,0.0,53.9,27.85,26.05
ORD000651,2024-07-02,CUST00224,New,SOUTH,Home & Kitchen,Air Fryer,2,42.43,0.0,84.86,48.15,36.71
ORD005431,2024-07-27,CUST01521,New,west,Apparel,Running Shoes,2,14.04,0.0,28.08,15.89,12.19
ORD003344,2024-08-24,CUST00600,Returning,East,Apparel,Denim Jacket,1,231.55,0.0,231.55,143.41,88.14
ORD002026,2025-07-08,CUST00883,New,SOUTH,Home & Kitchen,Coffee Maker,1,20.34,0.0,20.34,11.97,8.37
ORD000829,2024-03-08,CUST00341,New,EAST,Sports & Outdoors,Yoga Mat,2,149.66,0.0,299.32,148.09,151.23
ORD000872,2025-03-23,CUST01425,Returning,North,Apparel,Yoga Pants,1,51.15,0.05,48.59,31.83,16.76
ORD000237,2024-10-28,CUST01402,New,North ,Apparel,Running Shoes,2,12.75,0.0,25.5,14.77,10.73
ORD000388,2024-02-19,CUST01777,New,East,Apparel,Yoga Pants,1,46.97,0.0,46.97,21.86,25.11
ORD002994,2024-09-07,CUST00834,New,SOUTH,Apparel,Denim Jacket,2,226.88,0.0,453.76,243.58,210.18
ORD002204,2024-04-12,CUST01305,New,west,Apparel,Yoga Pants,1,48.55,0.0,48.55,22.97,25.58
ORD002604,2025-03-01,CUST01239,New,Central,Apparel,T-Shirt Pack,1,54.08,0.0,54.08,25.61,28.47
